文章,发表年份,主题词
智慧医院信息化复合型人才队伍建设实践探索.pdf,2021,"['智慧医院', '信息化', '复合型人才', '医疗信息化', '人才队伍建设', '新技术能力', '服务能力', '沟通能力', '协调能力', '口头表达能力', '标准化', '项目管理', 'KPI考核', '实习生制度', '自主研发', '项目轮岗']"
基于医院患者就诊流程优化的智慧服务建设实践.pdf,2020,"['医院信息化', '就诊流程优化', '智慧服务', '创新']"
大数据技术下的智慧医院疾病预测.pdf,2023,"['医疗大数据', '疾病预测模型', '电子病历', '智慧医疗系统', 'KNN算法', 'DBSCAN算法', '决策支持系统', '智慧医院']"
服务设计理念下的医院轨道式物流传输系统设计研究与实践.pdf,2019,
云计算技术在智慧医院信息服务中的应用探讨.pdf,2023,"['网络安全技术', '应用安全', '业务性能监控', '叫号系统故障分析', '业务系统故障分析', '蠕虫病毒检测', '内网爬虫检测', 'Web弱口令审计', '智慧医院', '云计算技术', '信息服务']"
智慧医院与一体化后勤服务.pdf,2016,"['互联网+', '智慧医院', '一体化后勤服务', '物业管理', '智能化建设', '医疗系统', '产业升级', '斯马特物业']"
病案首页智能控制系统设计及应用.pdf,2021,"['人工智能', '病案首页', '质量控制', '智慧医院', '质量与信息化']"
掌上智慧系统对患者就医行为及医院管理影响初探.pdf,2018,"['移动医疗', '就医行为', '医院管理']"
移动互联网下的智慧医院门诊APP设计与实现.pdf,2016,
"2020年,重庆完成40家“智慧医院”示范建设.pdf",2018,"['全景预约平台', '数字骨科技术', '智慧医院']"
现代化大型综合性医院规划设计探索.pdf,2018,"['绿色医院', '规划设计', '设计概念']"
医院后勤维修存在的问题及未来智慧后勤发展方向的探讨.pdf,2022,"['医院后勤', '互联网技术', '精细化管理', '一站式服务']"
基于5G技术的智慧医院建设探讨.pdf,2020,"['5G', '智慧医院', '智慧医疗', '物联网', '数据中心', '远程会诊', '移动办公', '电子病历', '医疗信息化']"
建筑智能化与“三位一体”智慧医院顶层规划衔接问题简析.pdf,2024,"['三位一体', '智慧医院', '建筑智能化', '顶层规划', '医疗信息化', '评级标准', '信息机房', '信息技术系统基础设施']"
应用大数据和人工智能技术构建医院信息运维平台的探讨_345999A0EE8C790ED09623DF7CCBD6B1.pdf,2020,"['大数据', '人工智能', '医院信息运维平台']"
台达携手郑州市儿童医院加速医疗信息化建设.pdf,2014,"['企业级移动互联', '业务创新', '医疗行业整合方案', '智慧医院', 'ISV', '信息化建设', 'UPS产品', '电子商务平台', 'PACS系统']"
智慧医院信息化系统建设及应用研究.pdf,2024,"['智慧医院', '信息化系统', '工作结构', '工作场景', '优化保障']"
智慧医院建设背景下电子病历系统的构建与应用.pdf,2023,"['智慧医院建设', '电子病历系统', '医疗质量', '医疗信息化']"
联想成就智慧医院创造医疗新体验.pdf,2014,"['中国医疗设备', '西门子医疗', 'AED', '迈瑞生物医疗电子', '联想集团', '智慧医院', 'SunLife医疗', '急救医学', '医学工程学']"
一体化信息产品支撑下的智慧医院建设研究.pdf,2022,"['一体化信息产品', '一体化医疗信息团队', '集成平台', '数据中心', '智慧化医院']"
民营医院如何实现组织赋能.pdf,2020,"['民营医院', '赋能', '智慧医院', '价值医疗', '组织变革', '医疗服务', '团队建设', '文化建设', '人才发展', '管理创新']"
医院智慧一体化信息平台及其聚合支付.pdf,2018,"['智慧医院', '聚合支付', '就诊流程', '缴费', '医院信息化建设']"
智慧医院建设背景下公立医院无形资产管理的探讨.pdf,2021,"['智慧医院', '公立医院', '无形资产', '信息化建设']"
医疗服务正从“信息化”转向“智慧化”.pdf,2019,"['信息化质控', '智慧医院建设', '电子病历', '医疗服务', '智慧医疗', '智慧服务', '智慧管理', '互联网+医疗', '医院智慧服务分级管理', '信息安全']"
智慧医院医疗服务价格信息化建设探讨.pdf,2020,"['医疗服务信息化', '智慧医院', '医疗质量', '信息化管理', '医疗收费', '医疗信息化建设', '医院管理']"
基于智慧财务的公立医院内部控制探讨——以Z医院为例.pdf,2023,"['智慧财务', '公立医院', '内部控制']"
智慧医院建设背景下的后勤综合保障系统构建.pdf,2022,"['医院后勤管理', '后勤综合保障系统', '全流程闭环']"
浅议智慧医院中央空调系统节能运维管理.pdf,2021,"['智慧医院', '中央空调系统', '节能控制', '运维管理']"
高性价比非介入式物联网系统促动大型影像类医疗设备（以CT为例）单机精细化管理.pdf,2022,"['物联网', '智慧医院', '状态监测', '大型影像类', '医疗设备管理']"
陕西省公立医院智慧医养结合服务模式构建研究.pdf,2018,
Discussion on the construction status and improvement strategy of security system in smart hospital.pdf,2021,"['智慧医院', '安全防范', '系统', '建设']"
数字适老托起幸福“夕阳红”.pdf,2021,"['老年友善医院', '5G长者守护计划', '长者服务卡', '数字化适老', '智慧医院', '医养结合', '互联网医院']"
基于某智慧医院泌尿系统DRG合并症与伴随病的研究.pdf,2022,"['疾病诊断相关分组', '合并症', '伴随病', '泌尿系统']"
智慧医院信息化平台架构设计探究.pdf,2021,"['智慧医院', '信息化', '设计']"
浅谈医院智能化系统设计.pdf,2019,"['智能化系统', '医院', '设计']"
河南加快数字高清平安城市建设促进智慧城市建设.pdf,2015,"['智慧城市', '电子政务', '宽带中原', '信息惠民', '智慧交通', '智慧医院', '智慧旅游', '智慧养老', '电子商务', '数字化城市管理', '智慧社区', '智慧养老云平台', '互联网+', '云计算', '大数据']"
智慧医院建设探讨与研究.pdf,2016,"['智慧医院', '智能化', '大数据', '移动医疗']"
智慧管理激发医院正态运营.pdf,2022,"['智慧管理', '医院运营', '经济运营闭环管理', '医疗收入质量', '医疗成本控制', '绩效考核激励机制', '资源配置优化', '精益运营', '学科改革', '智慧化医院运营管理']"
科技创新引领机电智慧建造——四川大学华西天府医院项目建设纪实.pdf,2021,"['EPC项目机电总承包管理', '室外管网BIM+无人机管理', '医疗专项深化设计', '装配式设备机房预制管段标准化', '预埋预留重难点', '垃圾被服物流技术', 'EPC项目物资招采管理', '材料智慧仓储管理', '科技创新', '机电智慧建造', 'MDT模式', '多学科诊疗体系', '智慧医院', '循环立体交通模式', '分布式能源技术', '一体化机房配置', 'IP化医用系统', '绿色建筑设备管理系统', 'IBMS集成系统', '能耗管理与计量系统', 'BIM技术', '机电数字化加工厂', '机电智慧仓库', 'BIM+VR+AR虚拟现实和增强现实技术', '三维激光扫描技术', '无人机技术', '智慧建造指挥中心', 'BIM+智慧工地平台', '智能化施工流水作业线', '数字中国BIM+智慧工地示范基地', '四川省绿色施工示范工程']"
基于全流程管理的“掌上医院”智慧平台设计与实现.pdf,2019,"['移动医疗', '智慧化管理', '微信公众号', '心理健康问题', '服务质量', '跟踪管理']"
探析智慧医院与绿色医院的建筑节能设计.pdf,2019,"['建筑节能', '智慧医院', '绿色医疗', '节能设计', '智能化', '信息化', '资源节约', '环境保护']"
智慧医院出入口系统方案.pdf,2018,"['智慧城市', '智慧医院', '云门禁', '智慧停车', '无感支付']"
智能融合，焕然“医”新——雲禾智慧病房助力医院智慧化升级.pdf,2021,"['智慧医疗', '智慧病房', '数字化转型', '互联网+医疗健康', '大数据', '云计算', '物联网', '5G', '人工智能', '智慧化升级', '医疗服务', '信息化建设', '患者体验', '医院管理']"
建“智慧”医院，推人性化服务.pdf,2019,"['智慧医院', '人性化服务', '移动支付', '预约挂号', '影像检查', '智能导诊', '电子病历']"
简析公立医院构建智慧财务系统的困难及应对措施.pdf,2021,"['公立医院', '智慧财务', '信息化', '医改', '数据分析', '战略决策', '财务工作效率', '数据安全', '财务信息化人才']"
智慧医院信息化建设助力改善患者就医体验的实践研究.pdf,2020,"['信息化', '智慧医院', '就医体验', '医疗服务']"
BIM技术在医院EPC项目中的应用.pdf,2022,
公立医院智慧财务建设绩效评价体系研究.pdf,2023,"['智慧财务', '绩效评价', '运营管理']"
互联网+时代智慧医院建设策略探讨与思考.pdf,2017,"['互联网+', '智慧医院', '建设策略']"
"弯道超车进入第一梯队,河南省人民医院智慧医院建设经验——专访河南省人民医院副院长张连仲.pdf",2018,"['医院信息化', '智慧医院', '互联互通', '电子病历', '大数据', '分级诊疗', '互联网+医疗健康']"
智慧医院科研管理系统建设与应用.pdf,2023,"['数字化', '智慧医院', '科研管理系统']"
基于物联网技术的医院智慧化建设与研究.pdf,2021,"['物联网', 'RFID射频识别装置', '6LoWPAN通信', 'IPv6协议', '边缘计算']"
基于云计算的智慧医院平台设计与实现.pdf,2023,"['智慧医院', '云计算', '多租户', '虚拟化']"
医院公众号系统构建.pdf,2020,"['互联网', '医疗', '智慧医院', '微信公众号']"
浅谈医院局域网终端的安全建设.pdf,2020,"['智慧医院', '物联网', '终端', '安全建设']"
让信息化赋能医院高质量发展.pdf,2021,"['信息化', '医院高质量发展', '智慧医院', '数据化管理', '信息技术', '医疗数据', '健康医疗大数据']"
台达集团携手郑州市儿童医院加速医疗信息化建设.pdf,2014,"['数据中心', '医院机房', '高效基础设施', '智能化门诊预约系统', '医学信息', '文本挖掘', '自动分类技术', '供配电解决方案', '信息化建设']"
医院智慧通行管控整体解决方案设计与实践.pdf,2022,"['医院智慧通行', '疫情防控', '健康码核验', '医院安检管理', '病区访客管理']"
公立医院智慧财务管理系统建设探析——以XX公立医院为例.pdf,2022,"['公立医院', '智慧财务管理', '信息化', '业财融合', '财务信息化']"
基于智慧医疗的医院信息系统设计与应用.pdf,2023,"['智慧医疗', '医院', '信息系统', '系统设计']"
医院智慧化的危急值信息平台探讨.pdf,2017,"['危急值', '信息平台', '智慧化']"
精耕服务智慧服务创新服务——物业服务品牌供应商(医院物业、学校物业、住宅物业、政府物业、公共物业……).pdf,2019,"['奋斗', '新时代', '新中国成立', '70周年']"
基于虚拟化的数字孪生医院信息系统建设_卢生玉.pdf,2022,"['虚拟化', '5G广电', '医院信息系统', '大数据', '数字孪生']"
军队某三甲医院互联网医院建设实践与体会.pdf,2023,"['互联网医院', '医疗信息化', '疫情防控', '智慧医院']"
人工智能对医院环境绩效的影响_陈娜.pdf,2022,"['大数据', '人工智能', '环境绩效', '医疗保健']"
改善患者就医体验的智慧医院建设研究.pdf,2021,
智慧医院招标采购体系的构建与探索.pdf,2022,"['智慧医院建设', '自主招标采购模式', '信息化建设']"
医院智慧服务分级评估标准体系（试行）解读.pdf,2019,"['智慧服务', '分级评估', '解读']"
医院旧环境中“智慧”门诊系统的实现.pdf,2021,"['智慧门诊', '旧环境', '服务', '信息化', '医疗改革', '互联网+医疗']"
“互联网+”模式下的智慧医疗体系.pdf,2018,"['智慧医疗', '互联网+', '医院信息化', '物联网']"
浅谈智慧医院智能卡系统建设及应用.pdf,2019,"['智慧医院', '智能卡', '信息化', '系统平台']"
促进医疗“智慧”发展.pdf,2019,"['智慧医疗', '医疗改革', '5G', '人工智能', '大数据', '医患关系', '互联网医院', '远程医疗', '电子病历', '智慧医院']"
“互联网+”时代智慧医院前景研究.pdf,2015,"['互联网+', '智慧医院', '体系架构', '医疗应用', '局限性']"
交通银行H省分行“银医合作”营销策略研究.pdf,2020,"['商业银行', '市场营销', '银医合作', '4R营销理论']"
重庆市智慧医院建设标准体系研究及应用建设效果_聂鑫.pdf,2023,"['智慧医院', '建设标准体系', '政策研究', '应用案例', '医院管理', '重庆']"
腾讯智慧医疗为全行业提供零配件.pdf,2015,"['微信智慧生活', '腾讯战略投资', '医疗健康领域', '丁香园', '微信系统', '医生资源', '医疗行业', '微信支付', '智慧医疗', '互联网医疗']"
智慧医院架构下的网络安全研究.pdf,2018,"['智慧医院', '网络安全', '物联网技术', '大数据技术', '云计算技术', '互联网+技术']"
为不动产管理提供智慧方案.pdf,2019,"['华为云', '智慧科技', '不动产管理', '数字化转型', '智慧园区', '数据安全', '区块链技术', 'AI算法', '合作共赢', '云平台', '不动产数字化管理', '资产管理', '资产经营', '智慧物管', '智慧社区', '智慧医院', '不动产全链条', '基础数据数字化', '增值服务', '配套服务', '物业管理信息化', '资产管理信息化', '城市开发', '物业营理']"
基于价值链协同创新的上海市儿童医院互联网医院服务体系建设.pdf,2023,"['价值医疗', '价值链协同', '互联网医院']"
ZK医院智慧后勤体系设计研究.pdf,2023,
医院信息公开网站的现状调查与评价指标研究.pdf,2023,
基于智慧医院的物联网技术架构.pdf,2021,"['物联网', '智慧医院', '医疗应用', '服务应用', '管理应用', '消防应用']"
人工智能技术在医院档案管理中的应用与展望_郝阳.pdf,2023,"['人工智能技术', '医院档案管理', '信息推荐', '多层次检索机器', '数据库建设', '智慧管理人才培养']"
基于物联网的智慧医院病区系统设计与实现.pdf,2021,"['物联网', '智慧医院', '病区系统', '无线输液智能监控', '体征采集']"
基于BIM技术的医院建筑智慧运营维护技术.pdf,2018,"['医院建筑', '建筑信息模型', '智慧运维', '楼宇自控', '系统开发']"
借鉴中医药智慧做好新时期医院思想政治工作.pdf,2021,
试论智慧医院建设存在的问题与建议.pdf,2019,"['安全质量管理', '施工培训', '建筑施工', '安全生产', '施工现场监督', '智慧医院', '就医流程', '信息共享', '精细化管理', '医护人员培训']"
一体化智慧医院赋能医院高质量发展的思考.pdf,2023,"['一体化', '智慧医院', '高质量发展']"
智慧医院信息化与智能化设计方案.pdf,2020,"['智慧医院', '信息化', '智能化设计', '程序设计', '系统设计', '医院管理', '医疗资源整合', '自动化控制', '电子技术与软件工程']"
智慧医院规划建设与应用研究进展.pdf,2019,
智慧医院背景下的信息集成平台建设探索.pdf,2023,"['智慧医院', '集成平台', '医院信息化']"
“智慧医院”离我们还有多远？.pdf,2019,"['智慧医院', '技术变革', '人工智能', '大数据', '云计算', '产业变革', '医疗产业']"
物联网技术在智慧医院的应用.pdf,2021,"['智慧医院', '物联网', '传感器', '大数据', '物联协同运营平台', '可穿戴', '定位', '射频']"
智慧医疗背景下慢性非传染性疾病的健康管理探讨.pdf,2020,"['智慧医疗', '慢性病', '健康管理']"
基于人工智能的智慧医院运营平台建设_梁智星.pdf,2021,"['智慧医院', '物联网', '大数据', '人工智能', '医疗信息化', '数据挖掘', '信息安全', '医院运营管理', '资源调度', '事件处置', '故障排除', '运营维护成本']"
由新冠肺炎疫情引发的医院人力资源一体化管理思考.pdf,2021,"['新冠疫情', '医院管理', '人力资源', '一体化']"
用LIFE流打造一流智慧医院生态——访美的楼宇科技美控智慧建筑医疗行业总监刘洋.pdf,2019,"['智慧医院', 'LIFE流', '智慧医疗', '智慧管理', '智慧服务', '医疗供给需求', '医疗产业链', '智慧化科技', '全生命周期管理', '智慧医院建设', '智慧医院信息化建设', '医疗产业革命', '智慧医院解决方案', '数字化战略', '智慧病房', '楼宇自控系统', '智慧能源系统', '智慧运维技术', '智慧建筑']"
基于改进模糊聚类的复杂网络链路预测数学建模分析.pdf,2023,"['改进模糊聚类', '复杂网络链路', '链路预测', '数学建模', '智慧医院', '医院建设']"
综合医院门诊智慧服务的现状调查.pdf,2020,"['医院', '综合', '门诊医疗', '智慧服务']"
物联网在智慧医院物资保障中的应用.pdf,2018,
智慧医院建设背景下的电子病历系统的构建与应用.pdf,2022,"['智慧医院', '电子病历系统', '系统构建', '系统应用']"
基于“安全联动”的医院信息系统安全升级建设.pdf,2019,"['智慧医院', '网络安全', '安全联动']"
从火神山、雷神山看传染病医院未来建设.pdf,2020,"['医疗建筑设计', '传染病医院', '中国速度', '平战结合', '智慧医院', '疫情防控', '建筑科技']"
智慧供应链模式在跨地市多院区医院医用耗材管理的应用研究.pdf,2023,"['智慧供应链模式', '多院区管理', '医用耗材管理', '精细化管理', '零库存', '供应链管理']"
北京市市属医院智慧服务患者就医体验及影响因素研究.pdf,2024,"['医院智慧服务', '患者就医体验', '多中心调研']"
市级公立医院智慧医疗建设研究.pdf,2023,
智慧医院背景下公立医院收费部门内部控制研究.pdf,2022,"['智慧医院', '收费窗口', '内部控制']"
北京推进互联网医疗为京外患者提供远程诊疗服务.pdf,2021,"['医学信息学', '科技量值', '医院评价', '区域卫生信息平台', '互联网医疗']"
医院护理智慧管理指标体系构建与应用.pdf,2023,"['PDSA改进模型', '智慧管理', '指标体系', '护理']"
基于智慧财务背景的医院统一对账平台建设探讨.pdf,2023,"['智慧财务', '统一对账平台', '自动化对账', '异常交易处理', '电子化交账']"
基于BIM的医院智慧消防系统探究_徐福生.pdf,2024,"['BIM技术', '医院消防', '智慧消防', '消防系统']"
为医院打造智慧出入口系统.pdf,2017,"['智慧出入口系统', '医院管理', '现代化医院', '智能管理', '门禁系统', '云门禁', '智慧停车', '无感支付', '安全保障']"
智慧医院背景下医院财务管理信息化建设探析.pdf,2023,"['智慧医院', '财务管理', '信息化建设']"
基于时间驱动作业成本法的智慧医院成本模型研究.pdf,2020,"['时间驱动作业成本法', '智慧医院', '运营成本']"
浙大一院_树智慧型医院建设新标杆.pdf,2020,"['互联网+医疗', '智慧型医院', '信息化建设', '远程医疗', '智能化医疗', 'POCT血糖管理', '医疗质量控制']"
基于移动互联网的医院“智慧财务”信息化研究初探.pdf,2017,"['医院', '移动互联', '信息化']"
楼宇自控系统在荆州市中心医院中的应用研究.pdf,2024,"['楼宇自控系统', '智慧医院']"
5G“打工人”与医疗信息化共成长.pdf,2022,"['5G', '医疗信息化', '智慧医院', '远程医疗', '健康中国']"
5G时代医疗服务模式变革趋势探讨.pdf,2019,"['第五代移动通信技术', '医疗服务模式', '人工智能', '物联网', '智慧医院']"
互联网医院建设：风正扬帆时.pdf,2020,"['互联网医院', '智慧医院', '移动数字医院', '5G技术', '远程医疗', '数字化医疗', '智慧管理', '互联网+医疗', '医疗生态重构']"
“智慧医院”安防平台设计.pdf,2016,"['智慧医院', '物联网', '信息技术', '医院信息化', '安防管理平台', '卫星导航', 'GIS地图', '视频监控', '报警管理', '医疗卡', 'HIS系统']"
基于信息化手段的医院智慧财务管理模式研究.pdf,2021,"['智慧医院', '互联网+医疗', '精细化管理', '财务信息化', '智慧财务', '医院财务转型', '业财融合', '决策支持']"
重庆市公立医院智慧医疗发展困境及对策研究.pdf,2023,
智慧医院建设中满意度调查系统的实践与应用.pdf,2021,"['智慧医院', '医疗服务改进', '满意度调查']"
医院型智慧能源场景能耗分析与改进策略研究.pdf,2021,"['综合智慧能源', '工况寻优', '能耗分析']"
综合医院电气设计要点分析.pdf,2019,"['综合医院', '电气设计', '医疗设备', '供电安全', '智能化', '节能']"
互联网医院_从网络化医院到智慧医院.pdf,2017,
人工智能与医院财务数据的融合应用研究_汪迦声.pdf,2023,"['人工智能', '财务管理', '医院财务']"
数字智慧对医院品牌战略的影响.pdf,2017,"['数字智慧', '医院', '品牌战略']"
四川省医学科学院·四川省人民医院重症医学科成功举办全国首届大数据与智慧医疗研讨会.pdf,2014,"['抗c-mpl抗体', 'TPO', 'c-mpl受体', '信号通路', '免疫反应', '糖皮质激素', '免疫抑制剂', '利妥昔单抗', '重组人血小板生成素', '造血干细胞移植', '原发性干燥综合征', '血小板减少']"
抗疫战役中对互联网医院建设的思考.pdf,2020,"['互联网医院', '抗疫战役', '远程医疗', '智慧医院', '医疗健康', '互联网+']"
智慧医院规划设计及应用实践.pdf,2020,"['智慧医疗', '数据仓库', '顶层设计', '集成平台']"
“智慧医院”让群众就医更便捷.pdf,2022,"['智慧医院', '智慧医疗', '医疗服务', '信息整合', '政府引导', '政策法规', '医保报销']"
试析云计算技术在智慧医院信息服务中的应用.pdf,2018,"['云计算技术', '智慧医院', '信息服务', '重要作用']"
基于信息化手段的医院智慧财务管理模式研究_4E917E4C29E4761BCEF6CD5E8EC7807F.pdf,2021,"['智慧医院', '互联网+医疗', '财务信息化', '精细化管理', '智慧财务', '业财融合', '决策支持', '财务转型']"
智慧医学终将改变医学未来.pdf,2020,"['智慧医学', '人工智能', '大数据', '医疗机器人', '可穿戴设备', '数字化', '融合', '延展', '创新', '深度学习', '物联网', '医疗健康', '智能数字网格']"
医院智慧型手术室药房的建设与应用.pdf,2023,"['手术室药房', '智能化', '闭环管理', '药品流通', '药品管理']"
“互联网+”医共体“石棉模式”经验与成效探析.pdf,2021,"['医联体', '医共体', '互联网', '分级模式', '成效']"
打造智慧医院精诚服务患者——“全国五一劳动奖状”获得单位鄂东医疗集团黄石市中心医院创新“品质医疗”纪实.pdf,2017,"['品质医疗', '全国五一劳动奖状', '医疗服务品质', 'JCI认证', 'HIMSS EMRAM 6级', 'CCPC认证', '智慧医院', '互联网+医疗', '慢病居家健康管理', '一站式服务', '心血管急救培训中心']"
综合医院智慧门诊建设前后患...就诊时间差异及提升策略研究_刘祖武.pdf,2023,
基于5G的智慧医院组网方案研究.pdf,2024,"['5G技术', '智慧医院', '组网方案']"
"两部门_中央财政着力加强智慧医院建设,对示范项目予以补助.pdf",2022,"['健康中国行动', '常态化疫情防控', '十四五规划', '卫生健康服务体系', '全民健康信息化', '爱国卫生运动', '互联网+医疗健康', '医疗健康信息互通共享', '健康医疗大数据', '网络安全', '家庭医生签约服务', '智慧医院建设', '电子病历', '智慧服务', '智慧管理', '医院信息标准化', '检查检验结果互通共享']"
智慧后勤助推公立医院高质量发展.pdf,2023,"['智慧后勤', '公立医院', '高质量发展', '智慧医院', '信息化', '能耗管理', '安全管理体系', '危化品管理', '学习考核', '成本分析', '指标体系', '管理驾驶舱', '后勤信息化', '报事报修', '运送管理', '设备台账管理', '数字食堂管理', '医废管理']"
完善预约诊疗制度加强智慧医院建设——卫生健康委印发《关于进一步完善预约诊疗制度加强智慧医院建设的通知》.pdf,2020,"['智慧医院', '预约诊疗', '互联网医疗', '疫情防控', '电子病历', '互联网+医疗健康', '远程医疗服务', '医疗信息化', '医疗服务改善', '医院管理']"
百年名院智慧前行——中国科技大学附属第一医院(安徽省立医院)简介.pdf,2017,"['智慧医院', '人工智能辅助诊疗', '医疗技术', '科研', '教学', '区域医疗中心', '临床研究']"
江苏省人民医院：智慧医院重构患者服务流程.pdf,2023,"['智慧医院', '互联网+医疗', '患者服务流程', '线上流程', '诊前节约候诊时间', '诊中诊后提升效能', '互联网+医疗还需完善', '适老服务建设', '网络安全建设']"
上海医疗卫生服务体系建设成效、问题和对策.pdf,2023,"['疫情防控', '医疗卫生服务体系', '平战结合', '常态化']"
阮列敏打造智慧医院.pdf,2015,"['智慧医院', '信息化建设', '医疗管理', '电子病历', '远程诊断', '智慧城市', '医疗信息化', '便民服务', '远程医疗', '区域医疗网络']"
从患者立场看智慧医院建设.pdf,2019,"['智慧医院建设', '患者立场', '智慧服务分级评估', '便捷性', '隐私安全', '患者接受程度']"
